Nome Completo;Cargo;País/Local Principal;Idade;País de Origem
Kazimierz Nycz;Arcebispo Emérito de Varsóvia;Polônia;75;
Kevin Joseph Farrell;Prefeito do Dicastério para os Leigos, a Família e a Vida;;77;Irlanda
Konrad Krajewski;Prefeito do Dicastério para o Serviço da Caridade;;61;Polônia
Kurt Koch;Prefeito do Dicastério para a Promoção da Unidade dos Cristãos;;75;Suíça
Ladislav Nemet;Arcebispo de Belgrado;Sérvia;68;
Leonardo Ulrich Steiner;Arcebispo de Manaus;Brasil;74;
Leopoldo José Brenes Solórzano;Arcebispo de Manágua;Nicarágua;76;
Luis Antonio Gokim Tagle;Pró-Prefeito do Dicastério para a Evangelização;;67;Filipinas
Luis Gerardo Cabrera Herrera;Arcebispo de Guayaquil;Equador;69;
Luis José Rueda Aparicio;Arcebispo de Bogotá;Colômbia;63;
Louis Raphaël I Sako;Patriarca de Bagdá (Caldeu);Iraque;75;
Manuel José Macário do Nascimento Clemente;Patriarca Emérito de Lisboa;Portugal;76;
Marcello Semeraro;Prefeito do Dicastério para as Causas dos Santos;;77;
Mário Grech;Secretário Geral do Sínodo dos Bispos;;68;Malta
Mário Zenari;Núncio Apostólico na Síria;Síria;79;Itália
Matteo Maria Zuppi;Arcebispo de Bolonha;Itália;69;
Mauro Maria Gambetti;Conv. Presidente da Fábrica de São Pedro;;59;
Michael F. Czerny;Prefeito do Dicastério para o Serviço do Desenvolvimento Humano Integral;;78;Canadá e Tchéquia
Odilo Pedro Scherer;Arcebispo de São Paulo;Brasil;75;
Orani João Tempesta;Arcebispo de São Sebastião do Rio de Janeiro;Brasil;74;
Oscar Cantoni;Bispo de Como;Itália;74;
Pablo Virgilio Siongco David;Bispo de Kalookan;Filipinas;66;
Paulo Cezar Costa;Arcebispo de Brasília - Distrito Federal;Brasil;57;
Péter Erdo;Arcebispo de Esztergom-Budapeste;Hungria;72;
Peter Ebere Okpaleke;Bispo de Ekwulobia;Nigéria;62;
Philippe Nakellentuba Ouédraogo;Arcebispo Emérito de Ouagadougou;Burkina Faso;79;
Philippe Xavier Christian Ignace Marie Barbarin;Arcebispo Emérito de Lyon;França;74;
Pietro Parolin;Secretário de Estado;;70;Itália
Protase Cardinal Rugambwa;Arcebispo de Tabora;Tanzânia;64;
Rainer Maria Woelki;Arcebispo de Colônia;Alemanha;68;
